field_key,component_name,lv2_scope,requiredness,source_file
activityId,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
aiInstructions,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
allowRetry,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
allowSkip,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
anecdoteOrMemoryHook,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
assessmentPlan,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
audienceNotes,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
autoAdvance,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
body,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
buttons,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
cefrLevel,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
cefrMax,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
cefrMin,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
commonMisconceptions,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
competencyTags,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
coreTopics,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
culturalContext,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
defaultLang,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
delayMs,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
description,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
diagnosticChecks,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
differentiationPaths,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
differentiationStrategies,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
diffLog,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
discourseFocus,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
estimatedMinutes,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
exampleResponses,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
expansionGuidelines,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
expectedCompletionRate,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
expectedTimeOnTask,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
extractabilityTier,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
extraPracticeNotes,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
forbiddenPatterns,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
grammarFocus,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
groupId,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
groupName,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
ingestPayload,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
ingestSource,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
instructions,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
isRequiredToPass,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
keywords,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
l1InterferenceNotes,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
lastUpdatedAt,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
lastUpdatedBy,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
learningObjectives,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
