field_key,component_name,act_id,operation,required_from_lv2,required_at_ingest,required_in_db,required_for_runtime,system_generated,generator_owner,evidence_source,evidence_reference,decision_status
acceptedCorrections,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.acceptedCorrections (no requireField/runtime dependency),locked
acceptedCorrections,activity_slides,ACT-019,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-019.requiredAll,locked
activityId,activity_slides,,category_payload,true,true,true,true,false,lv2,player-contract requireField + contract path,runtime_required:activity_slides.activityId via player-contract,locked
aiInstructions,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.aiInstructions (no requireField/runtime dependency),locked
allowRetry,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.allowRetry (no requireField/runtime dependency),locked
allowSkip,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.allowSkip (no requireField/runtime dependency),locked
anecdoteOrMemoryHook,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.anecdoteOrMemoryHook (no requireField/runtime dependency),locked
assessmentPlan,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.assessmentPlan (no requireField/runtime dependency),locked
audienceNotes,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.audienceNotes (no requireField/runtime dependency),locked
audioA,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.audioA (no requireField/runtime dependency),locked
audioB,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.audioB (no requireField/runtime dependency),locked
audioClips,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.audioClips (no requireField/runtime dependency),locked
audioClips,activity_slides,ACT-025,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-025.requiredAll,locked
audioId,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.audioId (no requireField/runtime dependency),locked
audioPrompt,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.audioPrompt (no requireField/runtime dependency),locked
audioPrompt,activity_slides,ACT-009,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts + lib/activitySlidePreflight.ts,ACT-009.requiredAll + playable-audio validation with alias normalization,locked
autoAdvance,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.autoAdvance (no requireField/runtime dependency),locked
avatarDialogues,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.avatarDialogues (no requireField/runtime dependency),locked
avatarDialogues,activity_slides,ACT-023,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts + lib/activitySlidePreflight.ts,ACT-023.requiredAll + per-turn correctResponses/audio shape validation,locked
blanks,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.blanks (no requireField/runtime dependency),locked
blanks,activity_slides,ACT-017,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-017.requiredAll,locked
body,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.body (no requireField/runtime dependency),locked
body,activity_slides,ACT-002,propsJson,conditional_one_of,conditional_one_of,conditional_one_of,conditional_one_of,false,lv2,lib/activityShapeLock.ts,ACT-002.requiredOneOf=[syllableBreakdown|body],locked
body,activity_slides,ACT-005,propsJson,conditional_one_of,conditional_one_of,conditional_one_of,conditional_one_of,false,lv2,lib/activityShapeLock.ts,ACT-005.requiredOneOf=[lines|targetText|body],locked
buttons,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.buttons (no requireField/runtime dependency),locked
categoryLabels,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.categoryLabels (no requireField/runtime dependency),locked
categoryLabels,activity_slides,ACT-014,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-014.requiredAll,locked
cefrLevel,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.cefrLevel (no requireField/runtime dependency),locked
cefrMax,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.cefrMax (no requireField/runtime dependency),locked
cefrMin,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.cefrMin (no requireField/runtime dependency),locked
choiceElements,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.choiceElements (no requireField/runtime dependency),locked
choiceElements,activity_slides,ACT-003,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-003.requiredAll,locked
choiceElements,activity_slides,ACT-009,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-009.requiredAll,locked
choiceElements,activity_slides,ACT-010,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-010.requiredAll,locked
choiceElements,activity_slides,ACT-012,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-012.requiredAll,locked
choiceElements,activity_slides,ACT-021,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-021.requiredAll,locked
commonMisconceptions,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.commonMisconceptions (no requireField/runtime dependency),locked
competencyTags,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.competencyTags (no requireField/runtime dependency),locked
coreTopics,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.coreTopics (no requireField/runtime dependency),locked
correctAnswer,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.correctAnswer (no requireField/runtime dependency),locked
correctAnswer,activity_slides,ACT-009,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts + lib/activitySlidePreflight.ts,ACT-009.requiredAll + correctAnswer label/index normalization and label matching,locked
correctAnswer,activity_slides,ACT-010,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts + lib/activitySlidePreflight.ts,ACT-010.requiredAll + correctAnswer label/index normalization and label matching,locked
correctAnswer,activity_slides,ACT-011,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-011.requiredAll,locked
correctAnswer,activity_slides,ACT-021,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts + lib/activitySlidePreflight.ts,ACT-021.requiredAll + correctAnswer label/index normalization and label matching,locked
correctCurveId,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.correctCurveId (no requireField/runtime dependency),locked
correctCurveId,activity_slides,ACT-004,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-004.requiredAll,locked
correctOddIndex,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.correctOddIndex (no requireField/runtime dependency),locked
correctOddIndex,activity_slides,ACT-012,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-012.requiredAll,locked
correctOrderClips,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.correctOrderClips (no requireField/runtime dependency),locked
correctOrderClips,activity_slides,ACT-025,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-025.requiredAll,locked
